[Sun Oct 23 11:31:56.257605 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53625] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/index.php/contact/
[Sun Oct 23 11:32:37.493660 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53692] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:32:37.698021 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53692] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:32:48.934364 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53693] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo&s&_wpnonce=c4d1698266&_wp_http_referer=%2Fwp-admin%2Fadmin.php%3Fpage%3Dflamingo&action=-1&paged=1&action2=-1
[Sun Oct 23 11:32:49.881763 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53693] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo&s&_wpnonce=c4d1698266&_wp_http_referer=%2Fwp-admin%2Fadmin.php%3Fpage%3Dflamingo&action=-1&paged=1&action2=-1
[Sun Oct 23 11:32:50.084326 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53693] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo&s&_wpnonce=c4d1698266&_wp_http_referer=%2Fwp-admin%2Fadmin.php%3Fpage%3Dflamingo&action=-1&paged=1&action2=-1
[Sun Oct 23 11:32:59.534045 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53706] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:33:00.707973 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53706] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:33:00.909895 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53706] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:33:03.511690 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53706] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo&s&_wpnonce=c4d1698266&_wp_http_referer=%2Fwp-admin%2Fadmin.php%3Fpage%3Dflamingo&action=-1&paged=1&action2=-1
[Sun Oct 23 11:33:04.552606 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53706] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo&s&_wpnonce=c4d1698266&_wp_http_referer=%2Fwp-admin%2Fadmin.php%3Fpage%3Dflamingo&action=-1&paged=1&action2=-1
[Sun Oct 23 11:33:04.754701 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53706] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo&s&_wpnonce=c4d1698266&_wp_http_referer=%2Fwp-admin%2Fadmin.php%3Fpage%3Dflamingo&action=-1&paged=1&action2=-1
[Sun Oct 23 11:33:38.526174 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53719] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&channel=contact-form-1&s=ptnhuan%40gmail.com
[Sun Oct 23 11:33:39.713027 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53719] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&channel=contact-form-1&s=ptnhuan%40gmail.com
[Sun Oct 23 11:33:39.915317 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53719] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&channel=contact-form-1&s=ptnhuan%40gmail.com
[Sun Oct 23 11:33:40.147099 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53719] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&channel=contact-form-1&s=ptnhuan%40gmail.com
[Sun Oct 23 11:33:41.193191 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53719] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&channel=contact-form-1&s=ptnhuan%40gmail.com
[Sun Oct 23 11:33:41.396474 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53719] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&channel=contact-form-1&s=ptnhuan%40gmail.com
[Sun Oct 23 11:33:43.975140 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53719] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&post_status
[Sun Oct 23 11:33:44.977490 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53719] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&post_status
[Sun Oct 23 11:33:45.182238 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53719] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&post_status
[Sun Oct 23 11:33:48.998802 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53719] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:33:49.983788 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53719] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:33:50.191864 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53719] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:33:53.413650 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53719] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/edit-comments.php?s=wapuu%40wordpress.example
[Sun Oct 23 11:33:54.361604 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53719] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/edit-comments.php?s=wapuu%40wordpress.example
[Sun Oct 23 11:33:54.564308 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53719] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/edit-comments.php?s=wapuu%40wordpress.example
[Sun Oct 23 11:34:00.729332 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53752] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:34:01.634536 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53752] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:34:01.835494 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:53752] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:35:02.459481 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53852] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo&post=978&action=edit
[Sun Oct 23 11:35:03.595031 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53852] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo&post=978&action=edit
[Sun Oct 23 11:35:03.796474 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53852] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo&post=978&action=edit
[Sun Oct 23 11:37:03.475419 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53945] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo&post=978&action=edit
[Sun Oct 23 11:37:04.312383 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53945] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo&post=978&action=edit
[Sun Oct 23 11:37:04.527835 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53945] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo&post=978&action=edit
[Sun Oct 23 11:38:24.646284 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53998] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo&post=978&action=edit
[Sun Oct 23 11:38:25.468436 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53998] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo&post=978&action=edit
[Sun Oct 23 11:38:25.672833 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:53998] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo&post=978&action=edit
[Sun Oct 23 11:38:34.180317 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:54007] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo&post=978&action=edit
[Sun Oct 23 11:38:35.081994 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:54007] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo&post=978&action=edit
[Sun Oct 23 11:38:35.287159 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:54007] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo&post=978&action=edit
[Sun Oct 23 11:38:40.991457 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:54007] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:38:41.993761 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:54007] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:38:42.198715 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:54007] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:38:56.605337 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:54028] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/index.php/contact/
[Sun Oct 23 11:38:59.636869 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:54028] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/index.php/contact/
[Sun Oct 23 11:38:59.838454 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:54028] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/index.php/contact/
[Sun Oct 23 11:39:00.057175 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:54028] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/index.php/contact/
[Sun Oct 23 11:39:02.858800 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:54028] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:39:03.968246 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:54028] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:39:04.172299 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:54028] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:39:09.791897 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:54056] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:39:10.761308 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:54056] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:39:10.962785 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:54056] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:39:16.683648 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:54057] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&channel=contact-form-1&s=ptnhuan%40gmail.com
[Sun Oct 23 11:39:17.699662 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:54057] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&channel=contact-form-1&s=ptnhuan%40gmail.com
[Sun Oct 23 11:39:17.913755 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:54057] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&channel=contact-form-1&s=ptnhuan%40gmail.com
[Sun Oct 23 11:39:20.140740 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:54057] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&channel=contact-form-7
[Sun Oct 23 11:39:21.152897 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:54057] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&channel=contact-form-7
[Sun Oct 23 11:39:21.355773 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:54057] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&channel=contact-form-7
[Sun Oct 23 11:39:24.185085 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:54057] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&channel=contact-form-1
[Sun Oct 23 11:39:25.198080 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:54057] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&channel=contact-form-1
[Sun Oct 23 11:39:25.399608 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:54057] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&channel=contact-form-1
[Sun Oct 23 11:39:38.807475 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:54068] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&post=989&action=edit
[Sun Oct 23 11:39:39.772478 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:54068] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&post=989&action=edit
[Sun Oct 23 11:39:39.974489 2022] [php:notice] [pid 18940:tid 1868] [client 127.0.0.1:54068] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo_inbound&post=989&action=edit
[Sun Oct 23 11:39:46.518965 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:54094] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:39:47.538929 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:54094] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
[Sun Oct 23 11:39:47.745744 2022] [php:notice] [pid 18940:tid 1856] [client 127.0.0.1:54094] Xdebug: [Step Debug] Time-out connecting to debugging client, waited: 200 ms. Tried: 127.0.0.1:9003 (through xdebug.client_host/xdebug.client_port) :-(, referer: http://wordpress.local/wp-admin/admin.php?page=flamingo
